SPO,BMPO,BFPO,SPE,BMPE,BFPE,ST,BT,WP,FN,SFR,BFR,SD,f1,f2,g
0.33,0.074,0.94,582,100,188,162,156,379,153,1.65E-06,3.00E-06,30,0.29,0.267,0.023
0.3,0.033,0.95,402,40,204,75,116,223,189,4.68E-06,2.00E-06,27,0.288,0.406,-0.118
0.27,0.055,0.82,688,73,218,76,199,347,183,3.46E-06,2.00E-06,28,0.287,0.331,-0.044
0.27,0.083,0.83,54,51,214,180,190,331,181,8.46E-06,6.00E-06,25,0.287,0.26,0.027
0.25,0.098,0.88,752,26,158,144,135,263,159,1.52E-05,6.00E-06,13,0.287,0.336,-0.049
0.13,0.066,0.89,621,78,213,109,128,214,180,1.70E-05,8.00E-06,27,0.28,0.304,-0.024
0.29,0.1,0.92,574,78,184,105,151,351,199,2.35E-06,1.00E-06,18,0.28,0.394,-0.114
0.12,0.046,0.83,987,82,203,90,131,323,193,1.30E-05,1.00E-05,24,0.279,0.303,-0.024
0.22,0.068,0.93,235,45,117,68,117,276,165,3.80E-06,4.00E-06,12,0.277,0.275,0.002
0.31,0.098,0.96,237,76,190,72,125,396,183,2.23E-05,8.00E-06,19,0.274,0.234,0.04
0.38,0.011,0.94,204,70,180,72,110,323,161,1.12E-05,6.00E-06,10,0.274,0.258,0.016
0.27,0.055,0.83,727,35,117,53,102,263,165,4.56E-06,4.00E-06,20,0.273,0.263,0.01
0.12,0.061,0.81,599,29,208,97,114,229,179,3.20E-06,8.00E-06,20,0.273,0.248,0.025
0.34,0.045,0.81,968,40,144,58,178,272,166,7.30E-06,5.00E-06,15,0.271,0.239,0.032
0.12,0.081,0.96,129,44,190,182,146,267,200,4.10E-06,5.00E-06,22,0.271,0.263,0.008
0.22,0.063,0.81,362,94,130,122,164,200,178,2.66E-06,7.00E-06,26,0.27,0.364,-0.094
0.28,0.076,0.99,263,60,136,88,133,238,185,2.48E-06,2.00E-06,27,0.27,0.285,-0.015
0.36,0.049,0.91,520,10,184,96,173,330,165,8.37E-06,3.00E-06,15,0.269,0.247,0.022
0.11,0.069,0.94,335,61,118,132,130,373,167,1.10E-05,9.00E-06,20,0.264,0.209,0.055
