SPO,BMPO,BFPO,SPE,BMPE,BFPE,ST,BT,WP,FN,SFR,BFR,FP,f1,f2,g
0.11,0.025,0.82,592,49,368,70,160,473,382,6.96E-06,4.00E-06,0.5,0.549,0.395,0.154
0.24,0.04,0.8,318,68,428,138,249,490,400,1.49E-05,5.00E-06,0.5,0.371,0.395,-0.024
0.39,0.038,0.95,947,13,222,131,110,355,396,5.60E-06,4.00E-06,0.5,0.216,0.394,-0.178
0.36,0.045,0.87,645,79,331,83,214,361,314,2.08E-05,1.00E-05,0.5,0.368,0.394,-0.026
0.16,0.012,0.86,989,79,413,121,266,654,366,1.89E-06,3.00E-06,0,0.611,0.394,0.217
0.22,0.06,1,809,79,391,160,162,378,262,2.08E-05,1.00E-05,0,0.334,0.393,-0.059
0.27,0.018,0.89,395,51,371,159,200,508,368,1.95E-05,8.00E-06,0.5,0.348,0.393,-0.045
0.19,0.07,0.83,736,39,385,89,162,510,300,1.43E-05,7.00E-06,0.5,0.358,0.392,-0.034
0.17,0.017,0.92,825,52,269,123,239,582,380,1.36E-05,9.00E-06,0,0.425,0.392,0.033
0.35,0.047,0.87,795,51,272,101,141,316,260,3.40E-06,4.00E-06,0,0.251,0.392,-0.141
0.3,0.083,0.9,898,79,218,199,222,505,334,2.61E-05,9.00E-06,0.5,0.351,0.392,-0.041
0.28,0.088,0.83,439,34,229,64,189,536,362,3.90E-06,6.00E-06,0.5,0.524,0.392,0.132
0.14,0.085,0.97,493,96,218,157,230,518,316,1.50E-05,7.00E-06,0.5,0.354,0.392,-0.038
0.13,0.011,0.89,175,36,438,128,194,572,264,1.78E-05,7.00E-06,0,0.355,0.392,-0.037
0.34,0.078,0.8,534,78,363,109,247,547,228,2.35E-05,8.00E-06,0.5,0.419,0.392,0.027
0.4,0.043,0.94,218,20,276,67,204,557,316,4.72E-06,2.00E-06,0.5,0.51,0.392,0.118
0.39,0.069,0.86,177,73,259,70,176,454,394,1.46E-05,7.00E-06,1,0.512,0.392,0.12
0.22,0.059,0.83,183,15,275,99,201,501,268,4.59E-06,3.00E-06,0,0.343,0.391,-0.048
0.19,0.011,0.97,957,31,316,150,207,407,380,5.40E-06,5.00E-06,0.5,0.311,0.391,-0.08
0.33,0.039,0.93,502,94,357,53,158,363,214,1.24E-05,6.00E-06,1,0.501,0.391,0.11
0.12,0.065,0.93,339,59,302,191,218,402,252,1.14E-05,4.00E-06,0.5,0.301,0.391,-0.09
0.25,0.087,0.97,547,77,437,181,155,360,240,1.63E-05,8.00E-06,0.5,0.325,0.391,-0.066
